JOBSEEKERS - EDUCATIONAL LEVEL  AS DISTRICTS WISE  (UP TO 31/1012019),,,,,,,,,,
,,,,,,,,,,
,Districts ,Illiterates,Below Matric,Matric,PDC/HSC,Graduate,Post Graduate,Live Register,Male ,Female
,,,,,,,,,,
1,Tvpm,59,52760,220299,150996,74612,25169,523895,190158,333737
2,Kollam,25,26805,229145,89097,22811,1421,369304,139319,229985
3,Alappuzha,3,22876,177219,68685,18138,2256,289177,112943,176234
4,Pathanamthitta,1,7846,79448,29322,7021,559,124197,46329,77868
5,Kottayam,136,12358,142125,39424,10334,1722,206099,79109,126990
6,Idukki,13,5199,55989,33891,8343,1186,104621,42738,61883
7,Ernakulam,44,26844,173926,63340,44830,22949,331933,120527,211406
8,Thrissur,6,16231,126666,81079,35091,965,260038,86887,173151
9,Palakkad,335,35627,124788,64042,13937,129,238858,87959,150899
10,Malappuram,8,28548,155726,59016,18439,518,262255,94725,167530
11,Kozhikode,84,20864,195733,59455,46204,31383,353723,116184,237539
12,Wayanad,0,8997,53713,20447,7456,405,91018,34827,56191
13,Kannur ,0,8998,111424,60756,13551,430,195159,64083,131076
14,Kasargode,0,4639,49057,28733,5918,820,89167,31152,58015
,,,,,,,,,,
,TOTAL,714,278592,1895258,848283,326685,89912,3439444,1246940,2192504
